country,currency,estimateCurrency,exchange,finnhubIndustry,ipo,logo,marketCapitalization,name,phone,shareOutstanding,ticker,weburl,Symbol
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Industrial Conglomerates,1946-01-14,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/MMM.png,80942.12772762997,3M Co,16517331474.0,544.56,MMM,https://www.3m.com/,MMM
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Building,1983-09-30,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AOS.png,9720.496355618425,A O Smith Corp,14143594000.0,119.11,AOS,https://www.aosmith.com/,AOS
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Health Care,1937-03-01,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ABT.png,222790.7709962518,Abbott Laboratories,12246676100.0,1734.46,ABT,https://www.abbott.com,ABT
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Biotechnology,2013-01-02,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ABBV.png,336004.06086457614,AbbVie Inc,18479327900.0,1767.14,ABBV,https://www.abbvie.com/,ABBV
IE,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Technology,2001-07-19,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ACN.png,240941.12740520953,Accenture PLC,35316462000.0,674.87,ACN,https://www.accenture.com/ie-en/,ACN
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1986-08-20,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ADBE.png,190926.5954764952,Adobe Inc,14085366000.0,440.2,ADBE,https://www.adobe.com/,ADBE
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,1979-10-15,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMD.png,185438.19363704213,Advanced Micro Devices Inc,14087494000.0,1622.81,AMD,https://www.amd.com/,AMD
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,1991-06-26,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AES.png,7615.099582821819,AES Corp,17035221315.0,711.03,AES,https://www.aes.com/,AES
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Insurance,1974-06-15,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AFL.png,59280.43857012544,Aflac Inc,17063233431.0,555.53,AFL,https://www.aflac.com/,AFL
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Life Sciences Tools & Services,1999-11-18,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/A.png,42448.031586248355,Agilent Technologies Inc,14083458886.0,285.19,A,https://www.agilent.com/,A
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Chemicals,1961-11-13,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/APD.png,75181.19174579924,Air Products and Chemicals Inc,16104814911.0,222.38,APD,https://www.airproducts.com/,APD
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,"Hotels, Restaurants & Leisure",2020-12-10,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ABNB.png,82276.83788999269,Airbnb Inc,14158005959.0,624.77,ABNB,https://www.airbnb.com,ABNB
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1999-10-29,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AKAM.png,14722.24522012012,Akamai Technologies Inc,16174443000.0,150.23,AKAM,https://www.akamai.com/,AKAM
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Chemicals,1994-02-22,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ALB.png,9456.120354337809,Albemarle Corp,19802995700.0,117.54,ALB,https://www.albemarle.com/,ALB
